64,36,211,86
192,36,315,84
320,36,419,83
448,36,524,82
576,36,629,80
704,36,736,78
832,36,844,74
960,36,953,72
1088,36,1063,69
64,108,214,148
192,108,318,146
320,108,422,145
448,108,525,143
576,108,630,142
704,108,736,140
832,108,843,137
960,108,951,136
1088,108,1062,133
64,180,218,208
192,180,320,207
320,180,423,206
448,180,527,206
576,180,631,204
704,180,736,200
832,180,843,200
960,180,950,198
1088,180,1059,196
64,252,221,267
192,252,322,267
320,252,425,266
448,252,528,266
576,252,632,264
704,252,737,263
832,252,841,261
960,252,950,260
1088,252,1059,259
64,324,224,327
192,324,326,326
320,324,427,325
448,324,530,325
576,324,632,325
704,324,736,323
832,324,841,322
960,324,949,321
1088,324,1056,320
64,396,227,385
192,396,328,385
320,396,429,384
448,396,531,384
576,396,633,384
704,396,737,383
832,396,841,382
960,396,948,382
1088,396,1055,380
64,468,230,443
192,468,330,443
320,468,430,443
448,468,532,443
576,468,633,441
704,468,737,441
832,468,841,441
960,468,947,441
1088,468,1054,441
192,540,333,501
320,540,432,500
448,540,534,499
576,540,635,500
704,540,738,500
832,540,840,500
960,540,946,501
1088,540,1052,500
320,612,433,558
448,612,534,558
576,612,635,558
704,612,737,558
832,612,840,559
960,612,945,559
1088,612,1052,560
