64,36,210,87
192,36,315,87
320,36,419,83
448,36,523,83
576,36,629,80
704,36,736,79
832,36,843,75
960,36,953,72
1088,36,1064,70
64,108,215,149
192,108,317,147
320,108,421,145
448,108,525,144
576,108,630,142
704,108,736,141
832,108,843,139
960,108,951,137
1088,108,1062,134
64,180,218,209
192,180,321,208
320,180,423,206
448,180,527,205
576,180,630,204
704,180,736,203
832,180,842,200
960,180,951,199
1088,180,1061,197
64,252,221,268
192,252,322,267
320,252,425,267
448,252,528,266
576,252,632,264
704,252,736,263
832,252,842,262
960,252,950,261
1088,252,1058,259
64,324,224,328
192,324,325,327
320,324,427,326
448,324,530,325
576,324,632,325
704,324,736,324
832,324,841,322
960,324,948,321
1088,324,1056,321
64,396,226,386
192,396,328,385
320,396,429,385
448,396,530,385
576,396,633,384
704,396,737,384
832,396,842,384
960,396,948,383
1088,396,1055,381
64,468,230,444
192,468,330,444
320,468,430,443
448,468,532,443
576,468,633,442
704,468,736,442
832,468,841,442
960,468,947,441
1088,468,1053,440
192,540,332,502
320,540,432,500
448,540,534,500
576,540,635,501
704,540,737,500
832,540,841,501
960,540,946,501
1088,540,1052,501
320,612,434,559
448,612,534,557
576,612,635,560
704,612,737,559
832,612,840,559
960,612,944,560
1088,612,1051,560
